algo,rho,iters,res_norm,train_time,mv_mult,k,min_size,max_size,block_size,tol,accuracy,nfold,extra_time
FDA subspace,-1,10,5.35116873419701e-07,0.0809789,22,2,4,8,2,1e-06,0.846,19,14.355349
TR subspace,1.41058819216984,22,4.10577501342902e-07,0.1551004,25,2,4,8,1,1e-06,0.846,19,14.355349
TR subspace,1.41058819216963,10,6.04570006389782e-07,0.0825435,22,2,4,8,2,1e-06,0.846,19,14.355349
TR KSchur,1.41058819216994,13,5.1017729799398e-09,0.421456,70,2,4,8,1,1e-06,0.846,19,14.355349
TR KSchur,1.41058819216994,21,1.0640247893791e-07,0.3890897,102,2,4,8,2,1e-06,0.846,19,14.355349
FDA subspace,-1,19,7.13334114230166e-07,0.1324815,22,2,4,8,1,1e-06,0.846,20,14.2722894
FDA subspace,-1,10,5.35116873419701e-07,0.1089615,22,2,4,8,2,1e-06,0.846,20,14.2722894
TR subspace,1.41058819216984,22,4.10577501342902e-07,0.155013,25,2,4,8,1,1e-06,0.846,20,14.2722894
TR subspace,1.41058819216963,10,6.04570006389782e-07,0.0789644,22,2,4,8,2,1e-06,0.846,20,14.2722894
TR KSchur,1.41058819216994,13,5.1017729799398e-09,0.4402582,70,2,4,8,1,1e-06,0.846,20,14.2722894
TR KSchur,1.41058819216994,21,1.0640247893791e-07,0.3954027,102,2,4,8,2,1e-06,0.846,20,14.2722894
FDA subspace,-1,19,7.13334114230166e-07,0.1364282,22,2,4,8,1,1e-06,0.846,21,13.9534026
FDA subspace,-1,10,5.35116873419701e-07,0.0817403,22,2,4,8,2,1e-06,0.846,21,13.9534026
TR subspace,1.41058819216984,22,4.10577501342902e-07,0.1473176,25,2,4,8,1,1e-06,0.846,21,13.9534026
TR subspace,1.41058819216963,10,6.04570006389782e-07,0.0798752,22,2,4,8,2,1e-06,0.846,21,13.9534026
TR KSchur,1.41058819216994,13,5.1017729799398e-09,0.4299061,70,2,4,8,1,1e-06,0.846,21,13.9534026
TR KSchur,1.41058819216994,21,1.0640247893791e-07,0.3945019,102,2,4,8,2,1e-06,0.846,21,13.9534026
FDA subspace,-1,19,7.13334114230166e-07,0.1420451,22,2,4,8,1,1e-06,0.846,22,14.0430824
FDA subspace,-1,10,5.35116873419701e-07,0.0799021,22,2,4,8,2,1e-06,0.846,22,14.0430824
TR subspace,1.41058819216984,22,4.10577501342902e-07,0.1553807,25,2,4,8,1,1e-06,0.846,22,14.0430824
TR subspace,1.41058819216963,10,6.04570006389782e-07,0.0789339,22,2,4,8,2,1e-06,0.846,22,14.0430824
TR KSchur,1.41058819216994,13,5.1017729799398e-09,0.4490409,70,2,4,8,1,1e-06,0.846,22,14.0430824
TR KSchur,1.41058819216994,21,1.0640247893791e-07,0.3906292,102,2,4,8,2,1e-06,0.846,22,14.0430824
FDA subspace,-1,19,7.13334114230166e-07,0.1453087,22,2,4,8,1,1e-06,0.846,23,13.8728774
FDA subspace,-1,10,5.35116873419701e-07,0.0790514,22,2,4,8,2,1e-06,0.846,23,13.8728774
TR subspace,1.41058819216984,22,4.10577501342902e-07,0.1486181,25,2,4,8,1,1e-06,0.846,23,13.8728774
TR subspace,1.41058819216963,10,6.04570006389782e-07,0.0872086,22,2,4,8,2,1e-06,0.846,23,13.8728774
TR KSchur,1.41058819216994,13,5.1017729799398e-09,0.435216,70,2,4,8,1,1e-06,0.846,23,13.8728774
TR KSchur,1.41058819216994,21,1.0640247893791e-07,0.4143042,102,2,4,8,2,1e-06,0.846,23,13.8728774
FDA subspace,-1,19,7.13334114230166e-07,0.1412488,22,2,4,8,1,1e-06,0.846,24,14.1989466
FDA subspace,-1,10,5.35116873419701e-07,0.0788803,22,2,4,8,2,1e-06,0.846,24,14.1989466
TR subspace,1.41058819216984,22,4.10577501342902e-07,0.1491155,25,2,4,8,1,1e-06,0.846,24,14.1989466
TR subspace,1.41058819216963,10,6.04570006389782e-07,0.0793382,22,2,4,8,2,1e-06,0.846,24,14.1989466
TR KSchur,1.41058819216994,13,5.1017729799398e-09,0.4468734,70,2,4,8,1,1e-06,0.846,24,14.1989466
TR KSchur,1.41058819216994,21,1.0640247893791e-07,0.3966259,102,2,4,8,2,1e-06,0.846,24,14.1989466
FDA subspace,-1,19,7.13334114230166e-07,0.1904267,22,2,4,8,1,1e-06,0.846,25,13.7978823
FDA subspace,-1,10,5.35116873419701e-07,0.0789693,22,2,4,8,2,1e-06,0.846,25,13.7978823
TR subspace,1.41058819216984,22,4.10577501342902e-07,0.1550216,25,2,4,8,1,1e-06,0.846,25,13.7978823
TR subspace,1.41058819216963,10,6.04570006389782e-07,0.0830246,22,2,4,8,2,1e-06,0.846,25,13.7978823
TR KSchur,1.41058819216994,13,5.1017729799398e-09,0.4506002,70,2,4,8,1,1e-06,0.846,25,13.7978823
TR KSchur,1.41058819216994,21,1.0640247893791e-07,0.3844455,102,2,4,8,2,1e-06,0.846,25,13.7978823
FDA subspace,-1,19,7.13334114230166e-07,0.1404302,22,2,4,8,1,1e-06,0.846,26,14.4486404
FDA subspace,-1,10,5.35116873419701e-07,0.0815964,22,2,4,8,2,1e-06,0.846,26,14.4486404
TR subspace,1.41058819216984,22,4.10577501342902e-07,0.1787768,25,2,4,8,1,1e-06,0.846,26,14.4486404
TR subspace,1.41058819216963,10,6.04570006389782e-07,0.0821129,22,2,4,8,2,1e-06,0.846,26,14.4486404
TR KSchur,1.41058819216994,13,5.1017729799398e-09,0.4346792,70,2,4,8,1,1e-06,0.846,26,14.4486404
TR KSchur,1.41058819216994,21,1.0640247893791e-07,0.3828548,102,2,4,8,2,1e-06,0.846,26,14.4486404
FDA subspace,-1,19,7.13334114230166e-07,0.1384122,22,2,4,8,1,1e-06,0.846,27,14.7639001
FDA subspace,-1,10,5.35116873419701e-07,0.0787746,22,2,4,8,2,1e-06,0.846,27,14.7639001
TR subspace,1.41058819216984,22,4.10577501342902e-07,0.1464908,25,2,4,8,1,1e-06,0.846,27,14.7639001
TR subspace,1.41058819216963,10,6.04570006389782e-07,0.080483,22,2,4,8,2,1e-06,0.846,27,14.7639001
TR KSchur,1.41058819216994,13,5.1017729799398e-09,0.4423513,70,2,4,8,1,1e-06,0.846,27,14.7639001
TR KSchur,1.41058819216994,21,1.0640247893791e-07,0.3808663,102,2,4,8,2,1e-06,0.846,27,14.7639001
FDA subspace,-1,19,7.13334114230166e-07,0.1350898,22,2,4,8,1,1e-06,0.846,28,14.0457233
FDA subspace,-1,10,5.35116873419701e-07,0.0819344,22,2,4,8,2,1e-06,0.846,28,14.0457233
TR subspace,1.41058819216984,22,4.10577501342902e-07,0.1635178,25,2,4,8,1,1e-06,0.846,28,14.0457233
TR subspace,1.41058819216963,10,6.04570006389782e-07,0.0877647,22,2,4,8,2,1e-06,0.846,28,14.0457233
TR KSchur,1.41058819216994,13,5.1017729799398e-09,0.4362271,70,2,4,8,1,1e-06,0.846,28,14.0457233
TR KSchur,1.41058819216994,21,1.0640247893791e-07,0.4044689,102,2,4,8,2,1e-06,0.846,28,14.0457233
FDA subspace,-1,19,7.13334114230166e-07,0.1437051,22,2,4,8,1,1e-06,0.846,29,14.2627195
FDA subspace,-1,10,5.35116873419701e-07,0.1302807,22,2,4,8,2,1e-06,0.846,29,14.2627195
TR subspace,1.41058819216984,22,4.10577501342902e-07,0.1467352,25,2,4,8,1,1e-06,0.846,29,14.2627195
TR subspace,1.41058819216963,10,6.04570006389782e-07,0.0872274,22,2,4,8,2,1e-06,0.846,29,14.2627195
TR KSchur,1.41058819216994,13,5.1017729799398e-09,0.4183782,70,2,4,8,1,1e-06,0.846,29,14.2627195
TR KSchur,1.41058819216994,21,1.0640247893791e-07,0.3786053,102,2,4,8,2,1e-06,0.846,29,14.2627195
FDA subspace,-1,19,7.13334114230166e-07,0.1377666,22,2,4,8,1,1e-06,0.846,30,14.0455088
FDA subspace,-1,10,5.35116873419701e-07,0.0822408,22,2,4,8,2,1e-06,0.846,30,14.0455088
TR subspace,1.41058819216984,22,4.10577501342902e-07,0.1538594,25,2,4,8,1,1e-06,0.846,30,14.0455088
TR subspace,1.41058819216963,10,6.04570006389782e-07,0.0802263,22,2,4,8,2,1e-06,0.846,30,14.0455088
TR KSchur,1.41058819216994,13,5.1017729799398e-09,0.4374296,70,2,4,8,1,1e-06,0.846,30,14.0455088
TR KSchur,1.41058819216994,21,1.0640247893791e-07,0.4004024,102,2,4,8,2,1e-06,0.846,30,14.0455088
FDA subspace,-1,19,7.13334114230166e-07,0.1346651,22,2,4,8,1,1e-06,0.846,31,14.3039231
FDA subspace,-1,10,5.35116873419701e-07,0.1109298,22,2,4,8,2,1e-06,0.846,31,14.3039231
TR subspace,1.41058819216984,22,4.10577501342902e-07,0.1545761,25,2,4,8,1,1e-06,0.846,31,14.3039231
TR subspace,1.41058819216963,10,6.04570006389782e-07,0.0789867,22,2,4,8,2,1e-06,0.846,31,14.3039231
TR KSchur,1.41058819216994,13,5.1017729799398e-09,0.4388154,70,2,4,8,1,1e-06,0.846,31,14.3039231
TR KSchur,1.41058819216994,21,1.0640247893791e-07,0.3882746,102,2,4,8,2,1e-06,0.846,31,14.3039231
FDA subspace,-1,19,7.13334114230166e-07,0.1584793,22,2,4,8,1,1e-06,0.846,32,14.4021508
FDA subspace,-1,10,5.35116873419701e-07,0.0840082,22,2,4,8,2,1e-06,0.846,32,14.4021508
TR subspace,1.41058819216984,22,4.10577501342902e-07,0.154867,25,2,4,8,1,1e-06,0.846,32,14.4021508
TR subspace,1.41058819216963,10,6.04570006389782e-07,0.0848005,22,2,4,8,2,1e-06,0.846,32,14.4021508
TR KSchur,1.41058819216994,13,5.1017729799398e-09,0.4417605,70,2,4,8,1,1e-06,0.846,32,14.4021508
TR KSchur,1.41058819216994,21,1.0640247893791e-07,0.3946775,102,2,4,8,2,1e-06,0.846,32,14.4021508
FDA subspace,-1,19,7.13334114230166e-07,0.1412165,22,2,4,8,1,1e-06,0.846,33,14.1461097
FDA subspace,-1,10,5.35116873419701e-07,0.0792834,22,2,4,8,2,1e-06,0.846,33,14.1461097
TR subspace,1.41058819216984,22,4.10577501342902e-07,0.1534845,25,2,4,8,1,1e-06,0.846,33,14.1461097
TR subspace,1.41058819216963,10,6.04570006389782e-07,0.0877313,22,2,4,8,2,1e-06,0.846,33,14.1461097
TR KSchur,1.41058819216994,13,5.1017729799398e-09,0.4494117,70,2,4,8,1,1e-06,0.846,33,14.1461097
TR KSchur,1.41058819216994,21,1.0640247893791e-07,0.3949039,102,2,4,8,2,1e-06,0.846,33,14.1461097
FDA subspace,-1,19,7.13334114230166e-07,0.1361645,22,2,4,8,1,1e-06,0.846,34,13.9122778
FDA subspace,-1,10,5.35116873419701e-07,0.1333078,22,2,4,8,2,1e-06,0.846,34,13.9122778
TR subspace,1.41058819216984,22,4.10577501342902e-07,0.1583153,25,2,4,8,1,1e-06,0.846,34,13.9122778
TR subspace,1.41058819216963,10,6.04570006389782e-07,0.0853995,22,2,4,8,2,1e-06,0.846,34,13.9122778
TR KSchur,1.41058819216994,13,5.1017729799398e-09,0.4260657,70,2,4,8,1,1e-06,0.846,34,13.9122778
TR KSchur,1.41058819216994,21,1.0640247893791e-07,0.3815602,102,2,4,8,2,1e-06,0.846,34,13.9122778
FDA subspace,-1,19,7.13334114230166e-07,0.1309871,22,2,4,8,1,1e-06,0.846,35,14.35138
FDA subspace,-1,10,5.35116873419701e-07,0.1020184,22,2,4,8,2,1e-06,0.846,35,14.35138
TR subspace,1.41058819216984,22,4.10577501342902e-07,0.157206,25,2,4,8,1,1e-06,0.846,35,14.35138
TR subspace,1.41058819216963,10,6.04570006389782e-07,0.0792341,22,2,4,8,2,1e-06,0.846,35,14.35138
TR KSchur,1.41058819216994,13,5.1017729799398e-09,0.4291954,70,2,4,8,1,1e-06,0.846,35,14.35138
TR KSchur,1.41058819216994,21,1.0640247893791e-07,0.3862513,102,2,4,8,2,1e-06,0.846,35,14.35138
FDA subspace,-1,19,7.13334114230166e-07,0.1520667,22,2,4,8,1,1e-06,0.846,36,14.00572
FDA subspace,-1,10,5.35116873419701e-07,0.0893499,22,2,4,8,2,1e-06,0.846,36,14.00572
TR subspace,1.41058819216984,22,4.10577501342902e-07,0.1607716,25,2,4,8,1,1e-06,0.846,36,14.00572
TR subspace,1.41058819216963,10,6.04570006389782e-07,0.0806163,22,2,4,8,2,1e-06,0.846,36,14.00572
TR KSchur,1.41058819216994,13,5.1017729799398e-09,0.4428126,70,2,4,8,1,1e-06,0.846,36,14.00572
TR KSchur,1.41058819216994,21,1.0640247893791e-07,0.39388,102,2,4,8,2,1e-06,0.846,36,14.00572
FDA subspace,-1,19,7.13334114230166e-07,0.1377307,22,2,4,8,1,1e-06,0.846,37,13.9945711
